2025-07-27T11:33:25 | SUCCESS  | retries=0  | label=order_confirmation | subject='Your NLG Trading Ltd receipt [#1325-5127]' | 
2025-07-27T11:35:01 | SUCCESS  | retries=0  | label=newsletter      | subject='Ride Like the Pros with Trek' | 
2025-07-27T11:35:05 | SUCCESS  | retries=0  | label=newsletter      | subject='CEO Ilya Sutskever 🚀, Meta Project Omni 🤖, Devin’s Coding Agents 101 💻' | 
2025-07-27T11:35:08 | SUCCESS  | retries=0  | label=newsletter      | subject='News & Club Runs' | 
2025-07-27T11:35:11 | SUCCESS  | retries=0  | label=order_confirmation | subject='Your Chococo order has shipped' | 
2025-07-27T11:35:15 | SUCCESS  | retries=0  | label=newsletter      | subject='Introducing: Send to Slack' | 
2025-07-27T11:35:19 | SUCCESS  | retries=0  | label=newsletter      | subject='Durham Newswire July 2025' | 
2025-07-27T11:35:24 | SUCCESS  | retries=0  | label=promotion       | subject="Rizzle Kicks, Bongo's Bingo, Tom Davis, Michael Portillo and more." | 
2025-07-27T11:35:27 | SUCCESS  | retries=0  | label=billing         | subject='Your ChatGPT code is 070617' | 
2025-07-27T11:35:30 | SUCCESS  | retries=0  | label=social_notification | subject='Jerome Murray, CFA and Andre Martin-Comrie Have Updates for You, Roger Pembery' | 
2025-07-27T11:35:34 | SUCCESS  | retries=0  | label=social_notification | subject='Roger, add Wendy Chalmers - TA oversight manager 💬' | 
2025-07-27T11:35:38 | SUCCESS  | retries=0  | label=newsletter      | subject='Member News: Learn. Lead. Coach' | 
2025-07-27T11:35:41 | SUCCESS  | retries=0  | label=order_confirmation | subject='Invoice Number: SI119934 for Mrs C Pembery' | 
2025-07-27T11:35:44 | SUCCESS  | retries=0  | label=order_confirmation | subject='Invoice Number: SI119916 for Mrs C Pembery' | 
2025-07-27T11:35:48 | SUCCESS  | retries=0  | label=newsletter      | subject='Perplexity Max 🔍, Project Stargate expansion 💻, OpenAI & Google’s TPUs 💾' | 
2025-07-27T11:35:51 | SUCCESS  | retries=0  | label=order_confirmation | subject='Your Chococo order confirmation' | 
2025-07-27T11:35:55 | SUCCESS  | retries=0  | label=newsletter      | subject='Challengers. One night only. COME ON!' | 
2025-07-27T11:36:00 | SUCCESS  | retries=0  | label=event_invite    | subject='Zoom details for 1pm' | 
2025-07-27T11:36:04 | SUCCESS  | retries=0  | label=promotion       | subject='🔍 New Views: Track Your Progress with Fitness Trends 📈' | 
2025-07-27T11:36:08 | SUCCESS  | retries=0  | label=event_invite    | subject='National 25 mile TT Championship Sun 3rd August' | 
2025-07-27T11:36:12 | SUCCESS  | retries=0  | label=promotion       | subject='Unmissable shows coming to Brum! Plus the latest news and more!' | 
2025-07-27T11:36:16 | SUCCESS  | retries=0  | label=billing         | subject='July Invoice INV-53073 from Cambridge Fibre Networks Ltd. for Roger Pembery' | 
2025-07-27T11:36:19 | SUCCESS  | retries=0  | label=newsletter      | subject='🚀 285 days, 300+ improvements, and counting...' | 
2025-07-27T11:36:23 | SUCCESS  | retries=0  | label=personal        | subject='Hi Roger, we noticed a new sign in to your Dropbox account' | 
2025-07-27T11:36:28 | SUCCESS  | retries=0  | label=promotion       | subject='Lewis Capaldi・Rizzle Kicks・Kendrick Lamar and SZA & more' | 
2025-07-27T11:36:32 | SUCCESS  | retries=0  | label=social_notification | subject='Jason Gish, Jared Harris, and Daniel Waschilowski Have Updates for You, Roger Pe' | 
2025-07-27T11:36:36 | SUCCESS  | retries=0  | label=newsletter      | subject='Driving the future of tech-powered collaboration — July 16' | 
2025-07-27T11:36:39 | SUCCESS  | retries=0  | label=newsletter      | subject='Your Monthly Recap' | 
2025-07-27T11:36:43 | SUCCESS  | retries=0  | label=newsletter      | subject='Inside ChatGPT 🤖, xAI’s $10B fundraise 💰, Amazon’s new robotics model 💻' | 
2025-07-27T11:36:47 | SUCCESS  | retries=0  | label=newsletter      | subject='Gifts for great teachers ✏️🎓' | 
2025-07-27T11:36:50 | SUCCESS  | retries=0  | label=event_invite    | subject='Red flag marshals needed for next Saturday 5th July.' | 
2025-07-27T11:36:54 | SUCCESS  | retries=0  | label=social_notification | subject='7 profile views' | 
2025-07-27T11:36:59 | SUCCESS  | retries=0  | label=newsletter      | subject='Hello Developer: Dig deeper into WWDC25.' | 
2025-07-27T11:37:01 | SUCCESS  | retries=0  | label=order_confirmation | subject='Please confirm your appointment on Tue 5 August at 4:15pm' | 
2025-07-27T11:37:05 | SUCCESS  | retries=0  | label=billing         | subject="You've used over 95% of your credit limit" | 
2025-07-27T11:37:09 | SUCCESS  | retries=0  | label=newsletter      | subject='Don’t Compromise on the Ride That Matters Most' | 
2025-07-27T11:37:12 | SUCCESS  | retries=0  | label=order_confirmation | subject='Invoice for Claire Pembery (32KR)' | 
2025-07-27T11:37:20 | SUCCESS  | retries=0  | label=general         | subject='Cursor Web & Mobile 📱, Meta’s superintelligence team 💻, Siri considers OpenAI 🤖' | 
2025-07-27T11:37:26 | SUCCESS  | retries=0  | label=general         | subject='652475 – your Spotify login code' | 
2025-07-27T11:37:30 | SUCCESS  | retries=0  | label=social_notification | subject='Don’t miss conversations in 🟦 Hedge Fund Group (HFG) - Hedge Funds, Alternative ' | 
2025-07-27T11:37:34 | SUCCESS  | retries=0  | label=order_confirmation | subject='Consignment 0001469 Status: Delivered' | 
2025-07-27T11:37:38 | SUCCESS  | retries=0  | label=event_invite    | subject='Re: Marshals Required' | 
2025-07-27T11:37:47 | SUCCESS  | retries=1  | label=other           | subject='Security alert' | 
2025-07-27T11:37:51 | SUCCESS  | retries=0  | label=order_confirmation | subject='APC Overnight Parcel Delivery Pre-Advice' | 
2025-07-27T11:37:56 | SUCCESS  | retries=0  | label=general         | subject='BLL1RY | Your flight information' | 
2025-07-27T11:38:00 | SUCCESS  | retries=0  | label=other           | subject='Security alert for Roger.Pembery@cambridgebusinessprojects.com' | 
2025-07-27T11:38:08 | SUCCESS  | retries=0  | label=other           | subject='Security alert for web@pembery.com' | 
2025-07-27T11:38:18 | SUCCESS  | retries=1  | label=other           | subject='Security alert' | 
2025-07-27T11:38:22 | SUCCESS  | retries=0  | label=social_notification | subject='Messages from Trevor and 1 others are waiting' | 
2025-07-27T11:38:26 | SUCCESS  | retries=0  | label=review_request  | subject='How was your experience with Edward?' | 
2025-07-27T11:38:30 | SUCCESS  | retries=0  | label=newsletter      | subject='Ample Sound Summer Sale 2025' | 
2025-07-27T11:38:35 | SUCCESS  | retries=0  | label=shipping_update | subject='APC Overnight Ref: 0001469' | 
2025-07-27T11:38:39 | SUCCESS  | retries=0  | label=social_notification | subject='Roger, add Gill Hague - Independent Business Owner 💬' | 
2025-07-27T11:38:43 | SUCCESS  | retries=0  | label=promotion       | subject='Meta raids OpenAI 🧑\u200d💻, OpenAI rethinks comp 💰, Claude’s vending machine 🥤' | 
2025-07-27T11:38:48 | SUCCESS  | retries=0  | label=general         | subject='Re: [RPM Coaching] Rider profile form - new submission' | 
2025-07-27T11:38:56 | SUCCESS  | retries=0  | label=general         | subject='Have Your Say on AI at Work. Win a £250 voucher.' | 
2025-07-27T11:39:03 | SUCCESS  | retries=0  | label=billing         | subject='Upcoming Direct Debit payment to Cambridge Fibre Networks Ltd' | 
2025-07-27T11:39:07 | SUCCESS  | retries=0  | label=event_invite    | subject='Marshals Required' | 
2025-07-27T11:39:12 | SUCCESS  | retries=0  | label=social_notification | subject='Richard J. Tomlinson Has An Update for You, Roger Pembery' | 
2025-07-27T11:39:16 | SUCCESS  | retries=0  | label=billing         | subject='Your ChatGPT code is 397070' | 
2025-07-27T11:39:19 | SUCCESS  | retries=0  | label=personal        | subject='Hi Roger, we noticed a new sign in to your Dropbox account' | 
2025-07-27T11:39:24 | SUCCESS  | retries=0  | label=promotion       | subject='Last chance - Free gift with your order 🎁' | 
2025-07-27T11:39:27 | SUCCESS  | retries=0  | label=other           | subject='Your Apple Account was used to sign in to iCloud on a\xa0Mac\xa0mini\xa0(2024)' | 
2025-07-27T11:39:32 | SUCCESS  | retries=0  | label=order_confirmation | subject='Please confirm your appointment on Tue 1 July at 4:25pm' | 
2025-07-27T11:39:40 | SUCCESS  | retries=0  | label=general         | subject='AppleCare+ Proof of Coverage' | 
2025-07-27T11:39:46 | SUCCESS  | retries=0  | label=order_confirmation | subject='Your receipt from Apple Grand Arcade' | 
2025-07-27T11:39:51 | SUCCESS  | retries=0  | label=personal        | subject='Get your new Mac ready with Personal Setup.' | 
2025-07-27T11:39:54 | SUCCESS  | retries=0  | label=order_confirmation | subject='Your receipt from Apple Grand Arcade' | 
2025-07-27T11:39:58 | SUCCESS  | retries=0  | label=newsletter      | subject='🚴\u200d♂️ Top Performance Bikes – From Just £3,649' | 
2025-07-27T11:40:02 | SUCCESS  | retries=0  | label=promotion       | subject='Retro revival' | 
2025-07-27T11:40:05 | SUCCESS  | retries=0  | label=social_notification | subject='Anthony Gaughan, David Harvey, and Justin Slater Have Updates for You, Roger Pem' | 
2025-07-27T11:40:10 | SUCCESS  | retries=0  | label=order_confirmation | subject='Fwd: Your parcel is ready for collection from Amazon Counter - Esso City; please' | 
2025-07-27T11:40:15 | SUCCESS  | retries=0  | label=order_confirmation | subject='A shipment from order #23260 is on the way' | 
2025-07-27T11:40:20 | SUCCESS  | retries=0  | label=promotion       | subject='New Raspberry and Pistachio Blondie' | 
2025-07-27T11:40:24 | SUCCESS  | retries=0  | label=order_confirmation | subject='Order #23260 confirmed' | 
2025-07-27T11:40:28 | SUCCESS  | retries=0  | label=promotion       | subject='Turn your ideas into AI-powered apps' | 
2025-07-27T11:40:33 | SUCCESS  | retries=0  | label=newsletter      | subject='Grok code editor 👨\u200d💻, Meta poaches from OpenAI 💰, Gemma 3n ✨' | 
2025-07-27T11:40:37 | SUCCESS  | retries=0  | label=social_notification | subject='Roger, follow Dan McCrum - Investigative Reporter at Financial Times' | 
2025-07-27T11:40:42 | SUCCESS  | retries=0  | label=promotion       | subject='Fwd: Duran Duran, Sky Presents the Isle of Wight Festival 2026, Parklife and mor' | 
2025-07-27T11:40:47 | SUCCESS  | retries=0  | label=billing         | subject='Changes to accounts filing – important update from Companies House' | 
2025-07-27T11:40:54 | SUCCESS  | retries=0  | label=social_notification | subject='Trevor just messaged you' | 
2025-07-27T11:41:02 | SUCCESS  | retries=0  | label=promotion       | subject='The New Fastest Wheels in Zwift' | 
2025-07-27T11:41:07 | SUCCESS  | retries=0  | label=newsletter      | subject='News & Club Runs' | 
2025-07-27T11:41:12 | SUCCESS  | retries=0  | label=promotion       | subject='Craving Authentic Asian Food - Free shipping for orders above £40' | 
2025-07-27T11:41:17 | SUCCESS  | retries=0  | label=social_notification | subject='Colin Blackett Has An Update for You, Roger Pembery' | 
2025-07-27T11:41:21 | SUCCESS  | retries=0  | label=social_notification | subject="🔔 Friendly reminder: Melanie & Gideon's event is 3 months away!" | 
2025-07-27T11:41:26 | SUCCESS  | retries=0  | label=newsletter      | subject='Al Murray, Judi Love, Gareth Malone, La Casa plus many more!' | 
2025-07-27T11:41:30 | SUCCESS  | retries=0  | label=personal        | subject='Roger, add Lauren Cocklin - Personal Assistant' | 
2025-07-27T11:41:36 | SUCCESS  | retries=0  | label=promotion       | subject='Going Fast: Must-Have Pumps While Stocks Last' | 
2025-07-27T11:41:40 | SUCCESS  | retries=0  | label=event_invite    | subject='Leave taking - goodbye and good luck Y13!' | 
2025-07-27T11:41:45 | SUCCESS  | retries=0  | label=promotion       | subject='Still thinking about it?' | 
2025-07-27T11:41:49 | SUCCESS  | retries=0  | label=promotion       | subject='DeepMind AlphaGenome 🧬, Gemini CLI 👨\u200d💻, State of Foundation Models 2025 🤖' | 
2025-07-27T11:41:54 | SUCCESS  | retries=0  | label=newsletter      | subject='Get tickets for The Prodigy, Ricky Gervais & A.R. Rahman! Plus, our latest news ' | 
2025-07-27T11:41:59 | SUCCESS  | retries=0  | label=promotion       | subject="There's still time to get your free gift 🎁" | 
2025-07-27T11:42:03 | SUCCESS  | retries=0  | label=newsletter      | subject="Last chance to make your mark at St John's College– Alumni Survey closes Monday " | 
2025-07-27T11:42:08 | SUCCESS  | retries=0  | label=billing         | subject="You've been sent £700 📣" | 
2025-07-27T11:42:12 | SUCCESS  | retries=0  | label=event_invite    | subject='Duran Duran・Ricky Gervais・Bach and Arthur・HAIM & more' | 
2025-07-27T11:42:17 | SUCCESS  | retries=0  | label=social_notification | subject='Haider Al-Seaidy, John Oliver, and James Canosa Have Updates for You, Roger Pemb' | 
2025-07-27T11:42:21 | SUCCESS  | retries=0  | label=event_invite    | subject="🌟 Don't Miss the Return of the Out of the Ordinary Outdoor this summer!" | 
2025-07-27T11:42:26 | SUCCESS  | retries=0  | label=newsletter      | subject="Rejections are frustrating. We're making the process easier." | 
2025-07-27T11:42:31 | SUCCESS  | retries=0  | label=promotion       | subject='ElevenLabs assistant 🤖, Google Imagen 4 4️⃣, Anthropic fair use 🧑\u200d⚖️' | 
2025-07-27T11:42:35 | SUCCESS  | retries=0  | label=newsletter      | subject='Roger, something caught your eye?' | 
2025-07-27T11:42:39 | SUCCESS  | retries=0  | label=event_invite    | subject='Stop losing money to misalignment' | 
2025-07-27T11:42:43 | SUCCESS  | retries=0  | label=order_confirmation | subject='Tredz Order 7881305' | 
2025-07-27T11:42:47 | SUCCESS  | retries=0  | label=billing         | subject='All cos will have to show p&l accounts from April 27' | 
2025-07-27T11:42:52 | SUCCESS  | retries=0  | label=promotion       | subject='How is AI shaping your career?' | 
2025-07-27T11:42:57 | SUCCESS  | retries=0  | label=personal        | subject='I want to connect' | 
2025-07-27T11:43:01 | SUCCESS  | retries=0  | label=social_notification | subject='6 people noticed you' | 
2025-07-27T11:43:06 | SUCCESS  | retries=0  | label=newsletter      | subject='Events Bulletin June 2025' | 
2025-07-27T11:43:10 | SUCCESS  | retries=0  | label=other           | subject='Everyone has signed 156SS permission for a lodger 220625 (signed)' | 
2025-07-27T11:43:14 | SUCCESS  | retries=0  | label=other           | subject='156SS permission for a lodger 220625 (signed) has been signed by Juniper Robson' | 
2025-07-27T11:43:18 | SUCCESS  | retries=0  | label=social_notification | subject='Juniper Robson has viewed 156SS permission for a lodger 220625 (signed)' | 
2025-07-27T11:43:23 | SUCCESS  | retries=0  | label=personal        | subject='156SS permission for a lodger 220625 (signed) has been signed by Leonora Mayall' | 
2025-07-27T11:43:27 | SUCCESS  | retries=0  | label=other           | subject='Leonora Mayall has viewed 156SS permission for a lodger 220625 (signed)' | 
2025-07-27T11:43:31 | SUCCESS  | retries=0  | label=promotion       | subject='OpenAI device details 🎧, Grok spreadsheets 📃, Q&A evals ❓' | 
2025-07-27T11:43:36 | SUCCESS  | retries=0  | label=promotion       | subject='Set your alarms, clear your schedule—it’s Tour Fever!  ⛰️🚴🇫🇷' | 
2025-07-27T11:43:41 | SUCCESS  | retries=0  | label=personal        | subject='RE: Shimano Di2 Fit & Chainring Clearance on Original Aithein Disc' | 
2025-07-27T11:43:45 | SUCCESS  | retries=0  | label=order_confirmation | subject='Shimano Di2 Fit & Chainring Clearance on Original Aithein Disc' | 
2025-07-27T11:43:49 | SUCCESS  | retries=0  | label=social_notification | subject='Kathryn Barrow and Neil Denning Have Updates for You, Roger Pembery' | 
2025-07-27T11:43:53 | SUCCESS  | retries=0  | label=social_notification | subject='Roger, add Deepshika Hariparsad, CFA - Product Director 💬' | 
2025-07-27T11:43:58 | SUCCESS  | retries=0  | label=social_notification | subject='Mark just messaged you' | 
2025-07-27T11:44:02 | SUCCESS  | retries=0  | label=newsletter      | subject='Apple considers Perplexity 💰, Oakley Meta smart glasses 👓, Character AI CEO 💼' | 
2025-07-27T11:44:07 | SUCCESS  | retries=0  | label=general         | subject="Fwd: Reminder: Renters' Rights Bill Webinar starts in 1 Day" | 
2025-07-27T11:44:10 | SUCCESS  | retries=0  | label=event_invite    | subject='Marshals Required' | 
2025-07-27T11:44:15 | SUCCESS  | retries=0  | label=social_notification | subject='Mike Sullivan, Jane Fenton, and Liz Drury Have Updates for You, Roger Pembery' | 
2025-07-27T11:44:19 | SUCCESS  | retries=0  | label=newsletter      | subject='Your Week Ahead' | 
2025-07-27T11:44:25 | SUCCESS  | retries=0  | label=newsletter      | subject='Stay cool with classics this July at Rephouse' | 
2025-07-27T11:44:28 | SUCCESS  | retries=0  | label=promotion       | subject='Tuned for Speed – Road & Gravel Performance Starts Here' | 
2025-07-27T11:44:33 | SUCCESS  | retries=0  | label=personal        | subject='Congrats! You set a personal best on St Ives to Histon' | 
2025-07-27T11:44:38 | SUCCESS  | retries=0  | label=order_confirmation | subject='Fwd: B1509 H1500' | 
2025-07-27T11:44:43 | SUCCESS  | retries=0  | label=order_confirmation | subject='B1509 H1500' | 
2025-07-27T11:44:48 | SUCCESS  | retries=0  | label=order_confirmation | subject='Fwd: B1509 H1499' | 
2025-07-27T11:44:53 | SUCCESS  | retries=0  | label=order_confirmation | subject='B1509 H1499' | 
2025-07-27T11:44:57 | SUCCESS  | retries=0  | label=promotion       | subject='10 for the price of 1' | 
2025-07-27T11:45:01 | SUCCESS  | retries=0  | label=social_notification | subject='Graham Dash and Eoin Murray Have Updates for You, Roger Pembery' | 
2025-07-27T11:45:07 | SUCCESS  | retries=0  | label=newsletter      | subject="Don't Forget to Bring in Your Outdoor Data!" | 
2025-07-27T11:45:15 | SUCCESS  | retries=0  | label=social_notification | subject='I want to connect' | 
2025-07-27T11:45:22 | SUCCESS  | retries=0  | label=newsletter      | subject='Enjoy Summer a 5% Discount for you' | 
2025-07-27T11:45:27 | SUCCESS  | retries=0  | label=promotion       | subject='Solstice Special: Free Gift with your order ☀️' | 
2025-07-27T11:45:32 | SUCCESS  | retries=0  | label=promotion       | subject='Zwift Ride: Behind the Scenes' | 
2025-07-27T11:45:36 | SUCCESS  | retries=0  | label=social_notification | subject='Alex Houseman, Konstantinos Korrovesis, and Jo-Ann Browne Have Updates for You, ' | 
2025-07-27T11:45:41 | SUCCESS  | retries=0  | label=promotion       | subject='Pack More In – Cycling Bags for Every Ride' | 
2025-07-27T11:45:45 | SUCCESS  | retries=0  | label=social_notification | subject='Roger, follow Helen Jewell - CIO, Fundamental Equities, EMEA at BlackRock' | 
2025-07-27T11:45:50 | SUCCESS  | retries=0  | label=newsletter      | subject='GPT-5 this summer 5️⃣, LLM economics 💰, Software 3.0 💻' | 
2025-07-27T11:45:56 | SUCCESS  | retries=0  | label=social_notification | subject='I want to connect' | 
2025-07-27T11:46:05 | SUCCESS  | retries=0  | label=promotion       | subject='Fwd: 25% OFF YOUR BILL!' | 
2025-07-27T11:46:10 | SUCCESS  | retries=0  | label=promotion       | subject='Samsung SmartThings at Currys' | 
2025-07-27T11:46:16 | SUCCESS  | retries=0  | label=other           | subject='RE: 93JD0903124 R v BARAKO' | 
2025-07-27T11:46:20 | SUCCESS  | retries=0  | label=newsletter      | subject='News & Club Runs' | 
2025-07-27T11:46:25 | SUCCESS  | retries=0  | label=social_notification | subject='Roger, add Richard Witterick - Product Consultant 💬' | 
2025-07-27T11:46:30 | SUCCESS  | retries=0  | label=shipping_update | subject='Tredz Order 7881305' | 
2025-07-27T11:46:35 | SUCCESS  | retries=0  | label=newsletter      | subject='Gary Numan, Aisling Bea, Chris Hadfield, The Bootleg Beatles plus many more!' | 
2025-07-27T11:46:39 | SUCCESS  | retries=0  | label=social_notification | subject='Mike Sullivan, Roger Ohan, and Calum Wild Have Updates for You, Roger Pembery' | 
2025-07-27T11:46:45 | SUCCESS  | retries=0  | label=newsletter      | subject='Member News: Solstice sun' | 
2025-07-27T11:46:50 | SUCCESS  | retries=0  | label=newsletter      | subject='Make Your Mark – Complete the Durham Alumni Survey' | 
2025-07-27T11:46:55 | SUCCESS  | retries=0  | label=newsletter      | subject='Midjourney video model 📺, Claude Code MCP support 👨\u200d💻, Meta pursues Nat Friedman' | 
2025-07-27T11:46:59 | SUCCESS  | retries=0  | label=other           | subject='Your 2024-2025 Certificate of Interest' | 
2025-07-27T11:47:04 | SUCCESS  | retries=0  | label=personal        | subject='Thank you for last night’s UK launch' | 
2025-07-27T11:47:09 | SUCCESS  | retries=0  | label=event_invite    | subject='Art & Photography Show 2025' | 
2025-07-27T11:47:14 | SUCCESS  | retries=0  | label=newsletter      | subject='👀 Check out who’s coming to Brum! Plus our latest news and more!' | 
2025-07-27T11:47:19 | SUCCESS  | retries=0  | label=event_invite    | subject='Download Festival・Drake・Westlife & more' | 
2025-07-27T11:47:24 | SUCCESS  | retries=0  | label=newsletter      | subject='Sweeten up Summer Gifts ☀️' | 
2025-07-27T11:47:29 | SUCCESS  | retries=0  | label=promotion       | subject='Cursor Ultra 💻, OpenAI agent guide 📑, Gemini 2.5 2️⃣' | 
2025-07-27T11:47:33 | SUCCESS  | retries=0  | label=social_notification | subject='NOTIFICATION TEST - All Staff UK' | 
2025-07-27T11:47:38 | SUCCESS  | retries=0  | label=social_notification | subject='3 people noticed you' | 
2025-07-27T11:47:43 | SUCCESS  | retries=0  | label=newsletter      | subject='Dive deeper into WWDC25 announcements.' | 
2025-07-27T11:47:47 | SUCCESS  | retries=0  | label=social_notification | subject='Roger, you’re on a roll on LinkedIn!' | 
2025-07-27T11:47:52 | SUCCESS  | retries=0  | label=promotion       | subject='New SRAM Rival & Force AXS Groupsets' | 
2025-07-27T11:47:58 | SUCCESS  | retries=0  | label=newsletter      | subject="Product Update: What's new at Browse AI" | 
2025-07-27T11:48:03 | SUCCESS  | retries=0  | label=promotion       | subject='OpenAI-Microsoft relationship 👊, Character AI writing evals 📝, OpenAI’s prompt A' | 
2025-07-27T11:48:08 | SUCCESS  | retries=0  | label=social_notification | subject='Don’t miss conversations in 🟦 Hedge Fund Group (HFG) - Hedge Funds, Alternative ' | 
2025-07-27T11:48:12 | SUCCESS  | retries=0  | label=newsletter      | subject='Synthesizer V Studio 2 Pro 2.1.0 – now with ARA support for Pro Tools' | 
2025-07-27T11:48:17 | SUCCESS  | retries=0  | label=event_invite    | subject='Fwd: Reminder of Careers support available, including Gap UCAS Day on Monday 23r' | 
2025-07-27T11:48:21 | SUCCESS  | retries=0  | label=event_invite    | subject='Reminder of Careers support available, including Gap UCAS Day on Monday 23rd Jun' | 
2025-07-27T11:48:26 | SUCCESS  | retries=0  | label=order_confirmation | subject='Fwd: Booking Confirmation - Noshe Cambridge' | 
2025-07-27T11:48:31 | SUCCESS  | retries=0  | label=social_notification | subject='Dan Cavanaugh and Dan Cavanaugh Have Updates for You, Roger Pembery' | 
2025-07-27T11:48:40 | SUCCESS  | retries=0  | label=social_notification | subject='Roger, add Nick Gordon - Head of Investment Data Assurance 💬' | 
2025-07-27T11:48:46 | SUCCESS  | retries=0  | label=general         | subject='We’ve updated our terms and conditions' | 
2025-07-27T11:48:51 | SUCCESS  | retries=0  | label=newsletter      | subject='Anthropic multi-agent architecture 🤖, AMD AI rack analysis 💻, Google leaves Scal' | 
2025-07-27T11:48:55 | SUCCESS  | retries=0  | label=general         | subject='New Development Director at Hills Road and online auction' | 
2025-07-27T11:49:00 | SUCCESS  | retries=0  | label=general         | subject='Your OpenAI code is 767047' | 
2025-07-27T11:49:05 | SUCCESS  | retries=0  | label=billing         | subject='Your annual membership payment' | 
2025-07-27T11:49:11 | SUCCESS  | retries=0  | label=newsletter      | subject='Your Week Ahead' | 
2025-07-27T11:49:15 | SUCCESS  | retries=0  | label=general         | subject='Marshals Required' | 
2025-07-27T11:49:21 | SUCCESS  | retries=0  | label=event_invite    | subject='Rhino Racing WTRL TTT sign-up success.' | 
2025-07-27T11:49:28 | SUCCESS  | retries=0  | label=social_notification | subject='Gavin Hayward and Loz Hudson-Basing Have Updates for You, Roger Pembery' | 
2025-07-27T11:49:36 | SUCCESS  | retries=0  | label=promotion       | subject='What’s trending in reading glasses right now?' | 
2025-07-27T11:49:41 | SUCCESS  | retries=0  | label=order_confirmation | subject='Order Confirmation from Tredz.' | 
2025-07-27T11:49:46 | SUCCESS  | retries=0  | label=newsletter      | subject='Roger, Thanks for Signing up' | 
2025-07-27T11:49:50 | SUCCESS  | retries=0  | label=shipping_update | subject='A new device has signed into your account' | 
2025-07-27T11:49:54 | SUCCESS  | retries=0  | label=newsletter      | subject='Escape the Everyday, One Ride at a Time' | 
2025-07-27T11:50:00 | SUCCESS  | retries=0  | label=newsletter      | subject="Weekend news 📰: Name that Choc quiz & Happy Father's Day" | 
2025-07-27T11:50:04 | SUCCESS  | retries=0  | label=social_notification | subject='Julian Dorado, Anthony Gaughan, and Loz Hudson-Basing Have Updates for You, Roge' | 
2025-07-27T11:50:09 | SUCCESS  | retries=0  | label=newsletter      | subject='New Stock, Reduced Prices and additional affordable Yodel Shipping.' | 
2025-07-27T11:50:14 | SUCCESS  | retries=0  | label=social_notification | subject='You appeared in 9 searches this week' | 
2025-07-27T11:50:18 | SUCCESS  | retries=0  | label=newsletter      | subject='WWDC25: Catch the highlights.' | 
2025-07-27T11:50:23 | SUCCESS  | retries=0  | label=newsletter      | subject='ByteDance frontier video model 🏆, Scale AI’s next phase 🚀, agentic coding 👨\u200d💻' | 
2025-07-27T11:50:27 | SUCCESS  | retries=0  | label=social_notification | subject='Roger, follow Alexander Gerko - Founder at XTX Markets' | 
2025-07-27T11:50:32 | SUCCESS  | retries=0  | label=newsletter      | subject="St John's College Global Alumni Survey Reminder" | 
2025-07-27T11:50:37 | SUCCESS  | retries=0  | label=personal        | subject='Your GOV.UK One Login | Eich GOV.UK One Login' | 
